time x y z
-1.402805611222444959e+00 2.073379471561257148e+01 2.238341090654578522e+02 5.609652910595466579e+01
-1.398797595190380827e+00 2.076450712017137690e+01 2.236324415315145586e+02 5.570004234000962384e+01
-1.394789579158316695e+00 2.079453481149855065e+01 2.234247392519687025e+02 5.530022573211480363e+01
-1.390781563126252562e+00 2.082456250282572441e+01 2.232170369724228465e+02 5.490040912421997632e+01
-1.386773547094188430e+00 2.085459019415289461e+01 2.230093346928770188e+02 5.450059251632515611e+01
-1.382765531062124298e+00 2.088461788548006837e+01 2.228016324133311628e+02 5.410077590843033590e+01
-1.378757515030060166e+00 2.091432283073208609e+01 2.225915557065562211e+02 5.370022554285610994e+01
-1.374749498997996033e+00 2.094330940568778843e+01 2.223761939843359414e+02 5.329804197470515703e+01
-1.370741482965931901e+00 2.097229598064349432e+01 2.221608322621156617e+02 5.289585840655419702e+01
-1.366733466933867769e+00 2.100128255559919666e+01 2.219454705398953820e+02 5.249367483840323700e+01
-1.362725450901803637e+00 2.103026913055489899e+01 2.217301088176751023e+02 5.209149127025227699e+01
-1.358717434869739504e+00 2.105890240279589776e+01 2.215126037929900633e+02 5.168931506100014417e+01
-1.354709418837675372e+00 2.108678490676814477e+01 2.212905442505673932e+02 5.128715448940801735e+01
-1.350701402805611240e+00 2.111466741074039177e+01 2.210684847081447231e+02 5.088499391781589054e+01
-1.346693386773547108e+00 2.114254991471263523e+01 2.208464251657220530e+02 5.048283334622376373e+01
-1.342685370741482975e+00 2.117043241868488224e+01 2.206243656232994113e+02 5.008067277463163691e+01
-1.338677354709418843e+00 2.119792980421063078e+01 2.204004131356257403e+02 4.967930847765286018e+01
-1.334669338677354711e+00 2.122464528258743499e+01 2.201726173954727415e+02 4.927956085943453957e+01
-1.330661322645290578e+00 2.125136076096423565e+01 2.199448216553197426e+02 4.887981324121621185e+01
-1.326653306613226668e+00 2.127807623934103276e+01 2.197170259151667722e+02 4.848006562299791256e+01
-1.322645290581162314e+00 2.130479171771783697e+01 2.194892301750137733e+02 4.808031800477956352e+01
-1.318637274549098404e+00 2.133110346246487410e+01 2.192595623419252320e+02 4.768177499684573917e+01
-1.314629258517034049e+00 2.135663148898943575e+01 2.190262604460793625e+02 4.728557035005231768e+01
-1.310621242484970139e+00 2.138215951551399385e+01 2.187929585502335215e+02 4.688936570325893882e+01
-1.306613226452905785e+00 2.140768754203855551e+01 2.185596566543876520e+02 4.649316105646551733e+01
-1.302605210420841875e+00 2.143321556856311716e+01 2.183263547585418394e+02 4.609695640967213848e+01
-1.298597194388777520e+00 2.145838037744679028e+01 2.180901820103080979e+02 4.570062339492594816e+01
-1.294589178356713610e+00 2.148287063928309948e+01 2.178486776790684019e+02 4.530405198255323285e+01
-1.290581162324649256e+00 2.150736090111941223e+01 2.176071733478286490e+02 4.490748057018047490e+01
-1.286573146292585346e+00 2.153185116295571788e+01 2.173656690165889245e+02 4.451090915780775248e+01
-1.282565130260520991e+00 2.155634142479203064e+01 2.171241646853491716e+02 4.411433774543499453e+01
-1.278557114228457081e+00 2.158052728892747396e+01 2.168784734477188465e+02 4.371577321417719730e+01
-1.274549098196392727e+00 2.160417200159472273e+01 2.166253388209496507e+02 4.331366536045698012e+01
-1.270541082164328817e+00 2.162781671426196439e+01 2.163722041941804832e+02 4.291155750673681268e+01
-1.266533066132264462e+00 2.165146142692920961e+01 2.161190695674112590e+02 4.250944965301659551e+01
-1.262525050100200552e+00 2.167510613959645127e+01 2.158659349406420915e+02 4.210734179929642806e+01
-1.258517034068136198e+00 2.169850911881324151e+01 2.156072287962768144e+02 4.170127268224344874e+01
-1.254509018036072288e+00 2.172150049783060055e+01 2.153390360138425308e+02 4.128845871140770640e+01
-1.250501002004007933e+00 2.174449187684795959e+01 2.150708432314082472e+02 4.087564474057192143e+01
-1.246492985971944023e+00 2.176748325586531863e+01 2.148026504489739636e+02 4.046283076973617909e+01
-1.242484969939879669e+00 2.179047463488268122e+01 2.145344576665396801e+02 4.005001679890039412e+01
-1.238476953907815759e+00 2.181329078901037377e+01 2.142592401981011392e+02 3.963117002676884937e+01
-1.234468937875751404e+00 2.183582104989703865e+01 2.139725613998661515e+02 3.920248026304937383e+01
-1.230460921843687494e+00 2.185835131078369997e+01 2.136858826016311923e+02 3.877379049932994803e+01
-1.226452905811623362e+00 2.188088157167036130e+01 2.133992038033962331e+02 3.834510073561049381e+01
-1.222444889779559229e+00 2.190341183255702617e+01 2.131125250051612738e+02 3.791641097189104670e+01
-1.218436873747495097e+00 2.192581027414649952e+01 2.128178406428732785e+02 3.748036278509273700e+01
-1.214428857715430965e+00 2.194800253683525071e+01 2.125106347573228618e+02 3.703280526988904597e+01
-1.210420841683366833e+00 2.197019479952400189e+01 2.122034288717724735e+02 3.658524775468536205e+01
-1.206412825651302700e+00 2.199238706221274953e+01 2.118962229862220568e+02 3.613769023948167103e+01
-1.202404809619238568e+00 2.201457932490150071e+01 2.115890171006716685e+02 3.569013272427798000e+01
-1.198396793587174436e+00 2.203657508334595860e+01 2.112750028133825708e+02 3.523731567250846552e+01
-1.194388777555110304e+00 2.205827608542397655e+01 2.109507759234854518e+02 3.477660931589022653e+01
-1.190380761523046171e+00 2.207997708750199806e+01 2.106265490335883328e+02 3.431590295927198042e+01
-1.186372745490982039e+00 2.210167808958001601e+01 2.103023221436912422e+02 3.385519660265374142e+01
-1.182364729458917907e+00 2.212337909165803751e+01 2.099780952537941232e+02 3.339449024603549532e+01
-1.178356713426853775e+00 2.214478751010598145e+01 2.096488958294665963e+02 3.293163048160455730e+01
-1.174348697394789642e+00 2.216577489357405639e+01 2.093125408068123363e+02 3.246567191080900727e+01
-1.170340681362725510e+00 2.218676227704213133e+01 2.089761857841580763e+02 3.199971334001345369e+01
-1.166332665330661378e+00 2.220774966051020627e+01 2.086398307615038448e+02 3.153375476921790010e+01
-1.162324649298597246e+00 2.222873704397828121e+01 2.083034757388495848e+02 3.106779619842235007e+01
-1.158316633266533113e+00 2.224933131727051006e+01 2.079640819065049868e+02 3.060294828111197418e+01
